fen,cp
6k1/6p1/8/8/8/K7/3q4/8 b - - 13 74,863
6k1/6p1/8/8/8/K7/2q5/8 w - - 14 75,-910
6k1/6p1/8/8/1K6/8/2q5/8 b - - 15 75,1032
6k1/6p1/8/8/1K6/3q4/8/8 w - - 16 76,-1088
6k1/6p1/8/8/K7/3q4/8/8 b - - 17 76,1137
6k1/6p1/8/8/K7/2q5/8/8 w - - 18 77,-1194
6k1/6p1/8/1K6/8/2q5/8/8 b - - 19 77,1195
6k1/6p1/8/K7/8/1q6/8/8 b - - 21 78,9990
6k1/6p1/8/1K6/8/q7/8/8 b - - 23 79,1209
6k1/6p1/8/1K6/8/2q5/8/8 w - - 24 80,-985
6k1/6p1/8/8/K7/2q5/8/8 b - - 25 80,9989
6k1/6p1/8/8/K7/8/1q6/8 w - - 26 81,-9988
6k1/6p1/8/K7/8/8/1q6/8 b - - 27 81,9989
6k1/6p1/8/K7/8/8/4q3/8 w - - 28 82,-9990
6k1/6p1/8/8/K7/8/4q3/8 b - - 29 82,9988
6k1/6p1/8/8/K7/3q4/8/8 w - - 30 83,-9991
6k1/6p1/8/8/1K6/3q4/8/8 b - - 31 83,1279
7k/6p1/8/8/1K6/3q4/8/8 w - - 32 84,-1042
7k/6p1/8/K7/8/3q4/8/8 b - - 33 84,1143
7k/6p1/8/K7/2q5/8/8/8 w - - 34 85,-9988
7k/6p1/1K6/8/2q5/8/8/8 b - - 35 85,1126
6k1/6p1/1K6/8/2q5/8/8/8 w - - 36 86,-9991
6k1/6p1/8/K7/2q5/8/8/8 b - - 37 86,9991
6k1/6p1/8/K7/4q3/8/8/8 w - - 38 87,-1030
6k1/6p1/8/1K6/4q3/8/8/8 b - - 39 87,1302
6k1/6p1/8/1K6/5q2/8/8/8 w - - 40 88,-1222
6k1/6p1/8/2K5/5q2/8/8/8 b - - 41 88,9988
6k1/6p1/8/2K5/6q1/8/8/8 w - - 42 89,-1220
6k1/6p1/8/1K6/6q1/8/8/8 b - - 43 89,1243
6k1/6p1/8/1K6/3q4/8/8/8 w - - 44 90,-1412
6k1/6p1/2K5/8/3q4/8/8/8 b - - 45 90,1411
6k1/6p1/2K5/8/8/3q4/8/8 w - - 46 91,-1081
6k1/6p1/8/2K5/8/3q4/8/8 b - - 47 91,9991
6k1/6p1/8/2K5/8/1q6/8/8 w - - 48 92,-750
6k1/6p1/8/8/3K4/1q6/8/8 b - - 49 92,740
6k1/8/8/6p1/3K4/1q6/8/8 w - - 0 93,-777
6k1/8/8/6p1/4K3/1q6/8/8 b - - 1 93,1130
6k1/8/8/8/4K1p1/1q6/8/8 w - - 0 94,-1266
6k1/8/8/4K3/6p1/1q6/8/8 b - - 1 94,1230
6k1/8/8/4K3/8/1q4p1/8/8 w - - 0 95,-1166
6k1/8/8/8/5K2/1q4p1/8/8 b - - 1 95,9989
6k1/8/8/8/5K2/1q6/6p1/8 w - - 0 96,-9993
6k1/8/8/8/4K3/1q6/6p1/8 b - - 1 96,9995
6k1/8/8/8/4K3/1q6/8/6q1 w - - 0 97,-9996
6k1/8/8/8/5K2/1q6/8/6q1 b - - 1 97,9998
6k1/8/8/5K2/8/4q3/8/6q1 b - - 3 98,9999
rnbqkbnr/ppp1p1pp/8/3p1p2/8/1P3NP1/P1PPPP1P/RNBQKB1R b KQkq - 1 3,-70
r1bqkbnr/ppp1p1pp/2n5/3p1p2/8/1P3NP1/P1PPPP1P/RNBQKB1R w KQkq - 2 4,79
r1bqkbnr/ppp1p1pp/2n5/3p1p2/3P4/1P3NP1/P1P1PP1P/RNBQKB1R b KQkq - 0 4,-58
r1bqkb1r/ppp1p1pp/2n2n2/3p1p2/3P4/1P3NP1/P1P1PP1P/RNBQKB1R w KQkq - 1 5,61
r1bqkb1r/ppp1p1pp/2n2n2/3p1p2/3P4/1P3NP1/P1P1PPBP/RNBQK2R b KQkq - 2 5,-54
r1bq1b1r/ppp1pkpp/2n2n2/3p1p2/3P4/1P3NP1/P1P1PPBP/RNBQK2R w KQ - 3 6,121
r1bq1b1r/ppp1pkpp/2n2n2/3p1p2/3P4/1P3NP1/P1P1PPBP/RNBQ1RK1 b - - 4 6,-123
r1bq1b1r/pppnpkpp/2n5/3p1p2/3P4/1P3NP1/P1P1PPBP/RNBQ1RK1 w - - 5 7,366
r1bq1b1r/pppnp1pp/2n2k2/3p1pN1/3P4/1P4P1/P1P1PPBP/RNBQ1RK1 w - - 7 8,354
r1bq1b1r/pppnp1pp/2n2k2/3B1pN1/3P4/1P4P1/P1P1PP1P/RNBQ1RK1 b - - 0 8,-331
r1bq1b1r/ppp1p1pp/1nn2k2/3B1pN1/3P4/1P4P1/P1P1PP1P/RNBQ1RK1 w - - 1 9,333
r1bq1b1r/ppp1p1pp/1nB2k2/5pN1/3P4/1P4P1/P1P1PP1P/RNBQ1RK1 b - - 0 9,-324
r1bq1b1r/ppp1p1pp/1nB3k1/5pN1/3P4/1P4P1/P1P1PP1P/RNBQ1RK1 w - - 1 10,612
r1bq1b1r/ppp1p1pp/1n4k1/5pN1/3P4/1P3BP1/P1P1PP1P/RNBQ1RK1 b - - 2 10,-554
r1b2b1r/pppqp1pp/1n4k1/5pN1/3P4/1P3BP1/P1P1PP1P/RNBQ1RK1 w - - 3 11,746
r1b2b1r/pppqp1pp/1n4k1/5pN1/3PP3/1P3BP1/P1P2P1P/RNBQ1RK1 b - - 0 11,-684
r1b2b1r/pppq2pp/1n2p1k1/5pN1/3PP3/1P3BP1/P1P2P1P/RNBQ1RK1 w - - 0 12,689
r1b2b1r/pppq1Npp/1n2p1k1/5p2/3PP3/1P3BP1/P1P2P1P/RNBQ1RK1 b - - 1 12,-371
