fen,cp
r1bq1b1r/ppp1pkpp/2n2n2/3p1p2/3P4/1P3NP1/P1P1PPBP/RNBQK2R w KQ - 3 6,119
r1bq1b1r/ppp1pkpp/2n2n2/3p1p2/3P4/1P3NP1/P1P1PPBP/RNBQ1RK1 b - - 4 6,-119
r1bq1b1r/pppnpkpp/2n5/3p1p2/3P4/1P3NP1/P1P1PPBP/RNBQ1RK1 w - - 5 7,331
r1bq1b1r/pppnp1pp/2n2k2/3p1pN1/3P4/1P4P1/P1P1PPBP/RNBQ1RK1 w - - 7 8,338
r1bq1b1r/pppnp1pp/2n2k2/3B1pN1/3P4/1P4P1/P1P1PP1P/RNBQ1RK1 b - - 0 8,-315
r1bq1b1r/ppp1p1pp/1nn2k2/3B1pN1/3P4/1P4P1/P1P1PP1P/RNBQ1RK1 w - - 1 9,367
r1bq1b1r/ppp1p1pp/1nB2k2/5pN1/3P4/1P4P1/P1P1PP1P/RNBQ1RK1 b - - 0 9,-323
r1bq1b1r/ppp1p1pp/1nB3k1/5pN1/3P4/1P4P1/P1P1PP1P/RNBQ1RK1 w - - 1 10,620
r1bq1b1r/ppp1p1pp/1n4k1/5pN1/3P4/1P3BP1/P1P1PP1P/RNBQ1RK1 b - - 2 10,-574
r1b2b1r/pppqp1pp/1n4k1/5pN1/3P4/1P3BP1/P1P1PP1P/RNBQ1RK1 w - - 3 11,777
r1b2b1r/pppqp1pp/1n4k1/5pN1/3PP3/1P3BP1/P1P2P1P/RNBQ1RK1 b - - 0 11,-776
r1b2b1r/pppq2pp/1n2p1k1/5pN1/3PP3/1P3BP1/P1P2P1P/RNBQ1RK1 w - - 0 12,710
r1b2b1r/pppq1Npp/1n2p1k1/5p2/3PP3/1P3BP1/P1P2P1P/RNBQ1RK1 b - - 1 12,-397
r1b2b1r/pppq1kpp/1n2p3/5p2/3PP3/1P3BP1/P1P2P1P/RNBQ1RK1 w - - 0 13,387
r1b2b1r/pppq1kpp/1n2p3/5p2/3PP3/1PN2BP1/P1P2P1P/R1BQ1RK1 b - - 1 13,-310
r1b4r/pppq1kpp/1n2p3/5p2/1b1PP3/1PN2BP1/P1P2P1P/R1BQ1RK1 w - - 2 14,336
r1b4r/pppq1kpp/1n2p3/5p2/1b1PP3/1PN2BP1/PBP2P1P/R2Q1RK1 b - - 3 14,-339
r1b3kr/pppq2pp/1n2p3/5p2/1b1PP3/1PN2BP1/PBP2P1P/R2Q1RK1 w - - 4 15,400
r1b3kr/pppq2pp/1n2p3/5P2/1b1P4/1PN2BP1/PBP2P1P/R2Q1RK1 b - - 0 15,-376
r1b3kr/pppq2pp/1n6/5p2/1b1P4/1PN2BP1/PBP2P1P/R2Q1RK1 w - - 0 16,376
r1b3kr/pppq2pp/1n6/5p2/1b1P4/1PNQ1BP1/PBP2P1P/R4RK1 b - - 1 16,-330
r1b3kr/pppqb1pp/1n6/5p2/3P4/1PNQ1BP1/PBP2P1P/R4RK1 w - - 2 17,378
r1b3kr/pppqb1pp/1n6/5p2/3P4/1PNQ1BP1/PBP2P1P/3R1RK1 b - - 3 17,-381
r1b3kr/pppq2pp/1n1b4/5p2/3P4/1PNQ1BP1/PBP2P1P/3R1RK1 w - - 4 18,436
r1b3kr/pppq2pp/1n1b4/5p2/3P4/1PNQ1BP1/PBP2P1P/3RR1K1 b - - 5 18,-399
r1b3kr/pppq2p1/1n1b3p/5p2/3P4/1PNQ1BP1/PBP2P1P/3RR1K1 w - - 0 19,433
r1b3kr/pppq2p1/1n1b3p/3N1p2/3P4/1P1Q1BP1/PBP2P1P/3RR1K1 b - - 1 19,-370
r1b3kr/ppp2qp1/1n1b3p/3N1p2/3P4/1P1Q1BP1/PBP2P1P/3RR1K1 w - - 2 20,372
r1b3kr/ppp2qp1/1N1b3p/5p2/3P4/1P1Q1BP1/PBP2P1P/3RR1K1 b - - 0 20,-280
r1b3kr/1pp2qp1/1p1b3p/5p2/3P4/1P1Q1BP1/PBP2P1P/3RR1K1 w - - 0 21,282
r1b3kr/1pp2qp1/1p1b3p/5p2/P2P4/1P1Q1BP1/1BP2P1P/3RR1K1 b - - 0 21,-279
1rb3kr/1pp2qp1/1p1b3p/5p2/P2P4/1P1Q1BP1/1BP2P1P/3RR1K1 w - - 1 22,276
1rb3kr/1pp2qp1/1p1b3p/5p2/P1PP4/1P1Q1BP1/1B3P1P/3RR1K1 b - - 0 22,-290
1rb3kr/1pp3p1/1p1b1q1p/5p2/P1PP4/1P1Q1BP1/1B3P1P/3RR1K1 w - - 1 23,439
1rb3kr/1pp3p1/1p1b1q1p/5p2/P1PP4/1P3BP1/1BQ2P1P/3RR1K1 b - - 2 23,-341
1rb3kr/1pp3p1/1p1b3p/5pq1/P1PP4/1P3BP1/1BQ2P1P/3RR1K1 w - - 3 24,492
1rb3kr/1pp3p1/1p1b3p/2P2pq1/P2P4/1P3BP1/1BQ2P1P/3RR1K1 b - - 0 24,-547
1rb3kr/1pp3p1/3b3p/2p2pq1/P2P4/1P3BP1/1BQ2P1P/3RR1K1 w - - 0 25,603
1rb3kr/1pp3p1/3b3p/2P2pq1/P7/1P3BP1/1BQ2P1P/3RR1K1 b - - 0 25,-604
1rb2bkr/1pp3p1/7p/2P2pq1/P7/1P3BP1/1BQ2P1P/3RR1K1 w - - 1 26,675
1rb1Rbkr/1pp3p1/7p/2P2pq1/P7/1P3BP1/1BQ2P1P/3R2K1 b - - 2 26,-560
1rb1Rb1r/1pp3pk/7p/2P2pq1/P7/1P3BP1/1BQ2P1P/3R2K1 w - - 3 27,534
1rbRRb1r/1pp3pk/7p/2P2pq1/P7/1P3BP1/1BQ2P1P/6K1 b - - 4 27,-546
1rbRRbkr/1pp3p1/7p/2P2pq1/P7/1P3BP1/1BQ2P1P/6K1 w - - 5 28,904
1rbR1R1r/1pp3pk/7p/2P2pq1/P7/1P3BP1/1BQ2P1P/6K1 w - - 1 29,940
1rbR3R/1pp3p1/6kp/2P2pq1/P7/1P3BP1/1BQ2P1P/6K1 w - - 1 30,1019
1rbR3R/1pp3p1/6kp/2P2pq1/P7/1P3BP1/1B2QP1P/6K1 b - - 2 30,-1066
1r1R3R/1ppb2p1/6kp/2P2pq1/P7/1P3BP1/1B2QP1P/6K1 w - - 3 31,1156
1r5R/1ppR2p1/6kp/2P2pq1/P7/1P3BP1/1B2QP1P/6K1 b - - 0 31,-9996
5r1R/1ppR2p1/6kp/2P2pq1/P7/1P3BP1/1B2QP1P/6K1 w - - 1 32,9999
rnbqkbnr/p1p1pppp/1p6/3p4/6P1/2N5/PPPPPPBP/R1BQK1NR b KQkq - 1 3,27
rn1qkbnr/p1p1pppp/1p2b3/3p4/6P1/2N5/PPPPPPBP/R1BQK1NR w KQkq - 2 4,87
rn1qkbnr/p1p1pppp/1p2b3/3p4/5PP1/2N5/PPPPP1BP/R1BQK1NR b KQkq - 0 4,-61
rn1qkbnr/p3pppp/1p2b3/2pp4/5PP1/2N5/PPPPP1BP/R1BQK1NR w KQkq - 0 5,120
rn1qkbnr/p3pppp/1p2b3/2pp4/4PPP1/2N5/PPPP2BP/R1BQK1NR b KQkq - 0 5,-145
rn1qkb1r/p3pppp/1p2bn2/2pp4/4PPP1/2N5/PPPP2BP/R1BQK1NR w KQkq - 1 6,218
