fen,cp
2r2bn1/4k3/p6p/2Np1r1P/2p1P1N1/5P2/1PP2K1R/R1B4b w - - 1 48,661
1r3bn1/4k3/p6p/R1Np1r1P/2p1P1N1/5P2/1PP2K1R/2B4b w - - 3 49,788
2r2bn1/3Nk3/p6p/R2p1r1P/2p1P1N1/2P2P2/1P3K1R/2B4b b - - 2 50,-242
2r2bn1/3Nk3/p6p/R2p1r1P/2p1P1N1/2P2P2/1P3KbR/2B5 w - - 3 51,677
2r3n1/3Nk1b1/p6N/R2p1r1P/2p1P3/2P2P2/1P3Kb1/2B4R b - - 0 52,-286
2r3n1/3Nk1b1/p4r1N/R2pP2P/2p5/2P2P2/1P3Kb1/2B4R b - - 0 53,-247
2r3n1/3Nk3/p4r1b/R2pP2P/2p5/2P2b2/1P3K2/4B2R b - - 1 55,424
2r3n1/3Nk3/p6b/R2pPr1P/2p5/2P2b2/1P3K2/4B2R w - - 2 56,-462
2r3n1/3Nk3/p6b/3pPr1P/2p5/2P2b2/RP3K2/4B2R b - - 3 56,638
1r3rn1/3Nk3/p6b/3pP2P/2p5/R1P4R/1P3K2/4B2b w - - 8 59,4
5rn1/3Nk3/p6b/3pP2P/2p4K/R1P4R/1r6/4B2b b - - 1 60,9998
1rbqkbnr/1ppppppp/2n5/p7/6Q1/4P3/PPPP1PPP/RNBK1BNR w k - 4 4,-100
1rbqkbnr/1pppppp1/2n4p/pB6/6Q1/4P3/PPPPKPPP/RNB3NR b k - 1 5,135
r1bqkbnr/1pp1ppp1/2np3p/pB6/2Q5/4P3/PPPPKPPP/RNB3NR b k - 1 7,109
r1bqkbnr/1pp1ppp1/2np3p/1B6/p1Q5/4P3/PPPPKPPP/RNB3NR w k - 0 8,-46
r1bqkbnr/2p1ppp1/1pnp3p/1B6/p1Q5/1P2P3/P1PPKPPP/RNB3NR w k - 0 9,547
r1b1kbnr/2pqppp1/1pnp3p/1B6/pP6/2Q1P3/P1PPKPPP/RNB3NR b k - 2 10,153
r1b1kbnr/2pqppp1/1p1p3p/1B6/pP1n4/2Q1P3/P1PPKPPP/RNB3NR w k - 3 11,-161
r1b1kbnr/2p1ppp1/1p1p3p/1q6/pP1P4/2Q5/P1PPKPPP/RNB3NR w k - 0 12,-151
r1b1kbnr/2p1ppp1/1p1p3p/1q6/pPQP4/8/P1PPKPPP/RNB3NR b k - 1 12,774
r1b1kbnr/2p1ppp1/1p1p3p/1q6/1PQP4/p7/P1PPKPPP/RNB3NR w k - 0 13,597
r1b1kbnr/2p1ppp1/1p1p3p/1q6/1PQP4/p5P1/P1PPKP1P/RNB3NR b k - 0 13,798
r1b1kbnr/4ppp1/1ppp3p/1q6/1PQP4/p5P1/P1PPKP1P/RNB3NR w k - 0 14,-19
r1b1kbnr/4ppp1/1ppp3p/1q6/1PQP4/p2P2P1/P1P1KP1P/RNB3NR b k - 0 14,158
r1b1kbnr/4p1p1/1ppp1p1p/1q6/1PQP4/p2P2P1/P1P1KP1P/RNB3NR w k - 0 15,77
r1b1kbnr/4p1p1/1ppp1p1p/1q6/1PQP4/p2PB1P1/P1P1KP1P/RN4NR b k - 1 15,135
