fen,cp
1nr2b2/Nk2p1p1/1p3pP1/1Pp5/p1B1PP2/2p5/1B2K3/8 b - - 1 44,485
1nr2b2/Nk2p1p1/1p4P1/1Pp2p2/p1B1PP2/2p5/1B2K3/8 w - - 0 45,-333
1nr2b2/Nk2p1p1/1p4P1/1Pp2p2/p1B1PP2/2p5/1B6/4K3 b - - 1 45,688
2r2b2/Nk2p1p1/np4P1/1Pp2p2/p1B1PP2/2p5/1B6/4K3 w - - 2 46,-329
2r2b2/Nk2p1p1/np4P1/1Pp2p2/p1B1PP2/2B5/8/4K3 b - - 0 46,332
3k1b2/N1r1p1p1/np4P1/1Pp1Bp2/p1B1PP2/8/8/4K3 w - - 5 49,130
2k2b2/2r1p1p1/np4P1/1Pp1Bp2/p3PP2/8/B7/4K3 b - - 1 50,374
5b2/1kr1p1p1/np4P1/1Pp1Bp2/p3PP2/8/B7/4K3 w - - 2 51,21
5b2/1kr1p1p1/Pp4P1/2p1Bp2/p3PP2/8/B7/4K3 b - - 0 51,-20
5b2/2r1p1p1/kp4P1/2p2p2/p3PP2/2B5/B7/4K3 b - - 1 52,400
5b2/4p1p1/kpr3P1/2p2p2/p3PP2/2B5/B7/4K3 w - - 2 53,-345
5b2/4p1p1/kpr3P1/2pB1p2/4PP2/p1B5/8/4K3 w - - 0 54,112
5b2/4p1p1/kpr3P1/2pB1p2/1B2PP2/p7/8/4K3 b - - 1 54,560
5b2/2r1p1p1/kp4P1/2pB1p2/1B2PP2/p7/8/4K3 w - - 2 55,-357
5b2/2r1p1p1/kp4P1/B1pB1p2/4PP2/p7/8/4K3 b - - 3 55,748
5b2/2r1p1p1/6P1/pkpB1p2/4PP2/p7/8/3K4 w - - 2 57,-713
5b2/2r1p1p1/2B3P1/1kp2p2/p3PP2/p7/8/3K4 b - - 1 58,845
5b2/4p1p1/2r3P1/1kp2p2/p3PP2/p7/8/4K3 b - - 1 59,894
5b2/4p1p1/k1r3P1/2p2P2/p4P2/p7/8/4K3 b - - 0 60,866
rnbqkbnr/p2ppp1p/6p1/1pP5/8/2P5/P2PPPPP/RNBQKBNR w KQkq b6 0 4,226
rnbqkbnr/p2ppp1p/6p1/1pP5/Q7/2P5/P2PPPPP/RNB1KBNR b KQkq - 1 4,670
rnbqkbnr/p3pp1p/6p1/1pPp4/Q7/2P5/P2PPPPP/RNB1KBNR w KQkq d6 0 5,127
rn1qkbnr/p3pp1p/6p1/1pP2b2/3p3P/2P3Q1/P2PPPP1/RNB1KBNR b KQkq - 2 7,32
rn2kbnr/p3pp1p/3q2p1/1pP2b2/3p3P/2P3Q1/P2PPPP1/RNB1KBNR w KQkq - 3 8,640
rn2kbnr/p3pp1p/3q2p1/1pP2b2/3p2QP/2P5/P2PPPP1/RNB1KBNR b KQkq - 4 8,-68
rn2kbnr/p3pp1p/6p1/1pPq1Q2/P6P/B1P5/3PpPP1/RN2KBNR b KQkq - 1 11,562
rn2kbnr/p3pp1p/6p1/1pPq1Q2/P6P/B1P5/3P1PP1/RN2KrNR w KQkq - 0 12,-594
rn2kbnr/p3pp1p/6p1/1pPq1Q2/P6P/B1P5/3P1PP1/RN3KNR b kq - 0 12,598
rn2k1nr/p3ppbp/6p1/1pPq4/P3Q2P/B1P5/3P1PP1/RN3KNR b kq - 2 13,638
rn2k1nr/p3ppb1/6pp/1pPq1Q2/P6P/B1P5/3P1PP1/RN3KNR b kq - 1 14,657
rn1qk1nr/p3ppb1/6pp/1pP2Q2/P6P/B1P5/3P1PP1/RN3KNR w kq - 2 15,226
rn2k1nr/p3ppb1/6pp/q1P2Q2/Pp5P/B1P5/3P1PP1/RN3KNR w kq - 2 17,165
